10	18588544	18588671	21	+
4	60947039	60947169	21	+
4	31028344	31028461	22	+
11	61083101	61083260	22	+
8	40007299	40007422	21	-
8	18622495	18622607	21	-
6	13375168	13375320	21	+
10	7617616	7617773	21	+
7	14082807	14082926	21	-
12	28641982	28642104	22	-
5	7800965	7801120	21	-
11	55877966	55878126	21	+
1	4251738	4251899	21	-
13	52278402	52278539	22	-
7	60185686	60185814	20	+
9	23650863	23651187	21	-
8	55813143	55813296	21	+
1	11418904	11419023	21	+
8	54626351	54626578	22	+
1	8898872	8898986	22	+
13	11500668	11500804	21	-
13	58084664	58084823	21	+
3	37185063	37185236	21	+
3	36545125	36545248	22	-
8	34538758	34538999	21	+
2	14528921	14529068	21	-
3	34901747	34901899	21	+
3	41144380	41144567	21	+
4	62016887	62017127	21	+
12	35047359	35047678	20	-
12	25770813	25770918	21	+
10	35173570	35173695	21	-
6	2333231	2333375	21	-
1	31715269	31715385	21	+
13	55319161	55319317	21	-
5	56355830	56356029	21	+
2	11723643	11723765	21	+
4	60967900	60968047	21	-
4	750139	750346	21	-
2	33880083	33880208	21	+
13	10539147	10539265	22	-
11	16266346	16266693	21	-
10	815803	815927	21	-
13	12485076	12485215	21	+
7	60245268	60245454	21	+
11	42131367	42131484	21	+
9	5762104	5762256	21	+
5	27992508	27992820	21	+
5	32168154	32168275	21	-
1	6260793	6260965	21	-
4	55514849	55514974	21	+
1	48135432	48135548	21	-
7	25630238	25630361	21	+
4	43629594	43629718	21	-
7	5568597	5568710	22	+
7	21190172	21190282	21	+
7	7854403	7854549	21	+
7	5250631	5250802	21	+
8	45419753	45419870	21	-
6	6277682	6277819	21	-
7	5561615	5561736	22	+
6	6252821	6252958	21	+
9	40330235	40330387	21	+
7	29414731	29414867	21	+
8	38140096	38140219	21	-
9	62059952	62060069	21	+
13	12638642	12638781	21	+
10	58201392	58201526	21	-
7	60137759	60137952	21	+
6	33149635	33149827	21	+
7	27471364	27471620	21	-
8	36086681	36086988	21	-
7	15243318	15243435	21	+
8	2424344	2424459	21	+
13	8355818	8355935	21	-
10	18588253	18588421	21	+
6	6273209	6273352	21	-
7	52735903	52736022	21	+
7	23197091	23197210	21	+
8	31302184	31302561	20	+
8	8998305	8998431	22	+
2	12840089	12840294	21	-
8	43363058	43363144	21	+
5	59271712	59271864	21	-
11	1045745	1046040	21	+
7	3057038	3057196	21	-
scaffold_64	791	918	22	+
11	61254010	61254146	21	-
11	24875826	24876162	22	+
10	4794137	4794260	21	+
12	5298960	5299072	21	-
11	32765423	32765575	21	+
scaffold_409	2777	2962	21	-
10	58234183	58234320	21	-
10	60952562	60952914	22	-
10	20668946	20669069	21	+
10	8936146	8936291	21	-
1	6791926	6792085	21	+
11	50861004	50861126	22	+
3	1507919	1508075	22	+
13	14300296	14300416	21	+
12	6720463	6720589	21	-
1	15645650	15645774	21	-
13	32676120	32676237	21	-
6	43323328	43323566	21	+
4	57903867	57904150	21	+
2	55759405	55759523	22	-
10	60537483	60537673	21	+
4	46437455	46437559	21	-
13	41501857	41501985	21	+
4	11590602	11590937	21	+
11	60619203	60619371	21	+
11	10115581	10115842	22	+
2	55761097	55761215	22	-
12	25047883	25048185	21	+
2	55778784	55778903	22	-
7	60151814	60151985	21	+
7	60188350	60188522	21	+
12	33911356	33911473	21	+
2	55751364	55751483	22	-
10	58241752	58242073	22	-
10	51660499	51660699	21	+
